TOUCH_KIND: 3
1 @ {257.5, 278.5} @ 82333.656269
3 @ {259.5, 276.5} @ 82333.672799
TOUCH_KIND: 3
0 @ {196.5, 375.5} @ 82336.523098
1 @ {191.5, 370} @ 82336.539637
1 @ {190, 367} @ 82336.556318
1 @ {164.5, 358} @ 82336.572940
1 @ {157.5, 355} @ 82336.589631
1 @ {154.5, 355.5} @ 82336.606411
1 @ {152, 354.5} @ 82336.623113
1 @ {131.5, 340} @ 82336.639601
3 @ {129.5, 338} @ 82336.656326
TOUCH_KIND: 3
0 @ {213.5, 293} @ 82338.089704
1 @ {203, 274.5} @ 82338.156234
1 @ {201, 270.5} @ 82338.173263
1 @ {197, 264.5} @ 82338.189716
1 @ {192.5, 255} @ 82338.206210
3 @ {195, 252} @ 82338.222777
TOUCH_KIND: 3
0 @ {69.5, 334.5} @ 82339.489736
1 @ {90, 323.5} @ 82339.556233
1 @ {101, 318.5} @ 82339.573350
1 @ {108, 317} @ 82339.589784
1 @ {139, 290} @ 82339.606230
3 @ {141, 288} @ 82339.622828
TOUCH_KIND: 3
0 @ {224, 320} @ 82340.956296
1 @ {219, 309} @ 82341.006215
1 @ {211.5, 282} @ 82341.023152
1 @ {203, 270} @ 82341.039676
1 @ {201, 267.5} @ 82341.056145
1 @ {199.5, 264.5} @ 82341.072804
1 @ {198.5, 257} @ 82341.089626
3 @ {196.5, 255} @ 82341.106091
TOUCH_KIND: 3
0 @ {254, 294} @ 82343.072906
1 @ {249.5, 288} @ 82343.089813
1 @ {249.5, 286.5} @ 82343.106549
1 @ {232.5, 266} @ 82343.122970
1 @ {230, 263} @ 82343.139674
1 @ {228, 259} @ 82343.156456
1 @ {223, 247.5} @ 82343.172804
3 @ {221, 235.5} @ 82343.189437
TOUCH_KIND: 3
0 @ {152, 335.5} @ 82344.423013
1 @ {187.5, 298.5} @ 82344.489527
1 @ {197.5, 292} @ 82344.506423
1 @ {201, 290} @ 82344.523144
1 @ {202, 286.5} @ 82344.539487
3 @ {205.5, 276.5} @ 82344.556138
TOUCH_KIND: 3
0 @ {209, 362.5} @ 82347.056292

1 @ {203.5, 355} @ 82347.072994
1 @ {191.5, 337.5} @ 82347.089800
1 @ {188.5, 333.5} @ 82347.106547
1 @ {179.5, 319.5} @ 82347.123029
1 @ {173.5, 307} @ 82347.139686
3 @ {173, 292.5} @ 82347.156312
TOUCH_KIND: 3
0 @ {107.5, 385} @ 82349.222869
1 @ {109, 352.5} @ 82349.289736
1 @ {112.5, 348.5} @ 82349.306667
1 @ {115, 346.5} @ 82349.322983
1 @ {119, 341} @ 82349.339648
1 @ {132, 306} @ 82349.356363
3 @ {133, 304} @ 82349.372839
TOUCH_KIND: 3
0 @ {170.5, 364} @ 82351.839707
1 @ {148, 354.5} @ 82351.889713
1 @ {135, 348.5} @ 82351.906253
1 @ {118, 338} @ 82351.922919
1 @ {115.5, 329.5} @ 82351.939566
3 @ {113.5, 327.5} @ 82351.956135
TOUCH_KIND: 3
0 @ {263, 231} @ 82354.206305
1 @ {255, 215.5} @ 82354.256229
1 @ {240, 204} @ 82354.273029
1 @ {227, 197} @ 82354.289555
1 @ {223, 193.5} @ 82354.306207
1 @ {220.5, 190} @ 82354.323077
3 @ {216, 180.5} @ 82354.339542
TOUCH_KIND: 3
0 @ {159.5, 353.5} @ 82356.256816
1 @ {162.5, 351} @ 82356.289755
1 @ {145.5, 328} @ 82356.306574
1 @ {132.5, 320.5} @ 82356.322826
1 @ {127.5, 317.5} @ 82356.339580
1 @ {126, 315.5} @ 82356.356135
1 @ {126, 310} @ 82356.372807
3 @ {124, 308} @ 82356.389470
TOUCH_KIND: 3
0 @ {183, 418.5} @ 82358.439677
1 @ {165, 411} @ 82358.506334
1 @ {154, 404} @ 82358.523094
3 @ {152, 402} @ 82358.539460
TOUCH_KIND: 3
0 @ {148, 406} @ 82362.106320
1 @ {135, 380.5} @ 82362.173046
1 @ {133.5, 377.5} @ 82362.189563
1 @ {134.5, 376.5} @ 82362.206325
1 @ {135, 376} @ 82362.223119
1 @ {137, 377} @ 82362.239637
1 @ {159, 409} @ 82362.256404
3 @ {166.5, 413.5} @ 82362.273150
TOUCH_KIND: 3
0 @ {188, 351} @ 82365.989720
1 @ {178.5, 335} @ 82366.039690
1 @ {178, 331} @ 82366.056382
1 @ {177.5, 327.5} @ 82366.073023
1 @ {172, 316} @ 82366.089630
1 @ {168, 309} @ 82366.106264
3 @ {166, 307} @ 82366.122845
TOUCH_KIND: 3
0 @ {180, 415} @ 82369.639600
1 @ {172, 385.5} @ 82369.689574
1 @ {172, 380.5} @ 82369.706446
1 @ {171.5, 374.5} @ 82369.722892
1 @ {169.5, 361} @ 82369.739508
1 @ {169, 350} @ 82369.756337
3 @ {167.5, 347.5} @ 82369.772741
TOUCH_KIND: 3
0 @ {50.5, 365.5} @ 82371.939568
1 @ {78.5, 351.5} @ 82372.006446
1 @ {88, 346} @ 82372.023298
1 @ {97, 341.5} @ 82372.039576
3 @ {112.5, 326.5} @ 82372.056096
TOUCH_KIND: 3
0 @ {122, 377.5} @ 82374.672928
1 @ {115, 355} @ 82374.706242
1 @ {112, 351} @ 82374.723017
1 @ {111.5, 346} @ 82374.739763
1 @ {107, 334} @ 82374.756185
1 @ {102, 323.5} @ 82374.772857
1 @ {101.5, 313} @ 82374.789638
3 @ {99.5, 310.5} @ 82374.806247
TOUCH_KIND: 3
0 @ {149.5, 384.5} @ 82376.789569
1 @ {142.5, 362} @ 82376.856233
1 @ {140.5, 358} @ 82376.873326
1 @ {137, 351.5} @ 82376.889505
1 @ {134, 341} @ 82376.906252
1 @ {131.5, 336.5} @ 82376.923008
3 @ {129.5, 334.5} @ 82376.939456
TOUCH_KIND: 3
0 @ {59, 312.5} @ 82380.906462
1 @ {76, 293} @ 82380.972904
1 @ {84, 288} @ 82380.989987
1 @ {88, 286.5} @ 82381.006311
1 @ {91, 286} @ 82381.022954
1 @ {93.5, 285.5} @ 82381.039774
1 @ {94, 287.5} @ 82381.056329
1 @ {87, 322.5} @ 82381.072813
3 @ {87, 324.5} @ 82381.089533
TOUCH_KIND: 3
0 @ {245, 335.5} @ 82382.957324
1 @ {237, 322.5} @ 82382.973246
1 @ {217, 300.5} @ 82382.989874
1 @ {212.5, 296} @ 82383.006285
1 @ {210.5, 295.5} @ 82383.023123
1 @ {209, 296} @ 82383.039671
1 @ {208.5, 295.5} @ 82383.056546
1 @ {209, 295.5} @ 82383.073083
3 @ {246.5, 324} @ 82383.089503
TOUCH_KIND: 3
0 @ {186.5, 461.5} @ 82387.622896
1 @ {167.5, 445} @ 82387.656352
1 @ {162.5, 441} @ 82387.673008
1 @ {161, 439.5} @ 82387.689725
1 @ {160.5, 439} @ 82387.706430
1 @ {156.5, 429} @ 82387.722980
3 @ {147.5, 416} @ 82387.739570
TOUCH_KIND: 3
0 @ {109.5, 414} @ 82389.756307
1 @ {102, 392.5} @ 82389.789546
1 @ {99, 385} @ 82389.806514
1 @ {97.5, 383} @ 82389.823114
1 @ {97.5, 381} @ 82389.839582
1 @ {100, 380.5} @ 82389.856280
3 @ {126.5, 400} @ 82389.872989
TOUCH_KIND: 3
0 @ {256.5, 316.5} @ 82391.606410
1 @ {251.5, 296.5} @ 82391.656500
1 @ {251.5, 293} @ 82391.673213
